場所,芝ダ,距離,脚質,母数,勝利数,複勝数,単勝率,複勝率,補正複勝率
函館,ダ,2400,逃げ,3,1,1,0.3333,0.3333,0.333333
函館,芝,1200,,4,0,0,0.0,0.0,0.142857
函館,芝,1200,先行,202,25,70,0.1238,0.3465,0.346341
函館,芝,1200,差し,467,18,76,0.0385,0.1627,0.16383
函館,芝,1200,逃げ,57,15,25,0.2632,0.4386,0.433333
函館,芝,1800,,3,0,0,0.0,0.0,0.166667
函館,芝,1800,まくり,8,3,4,0.375,0.5,0.454545
函館,芝,1800,先行,88,10,34,0.1136,0.3864,0.384615
函館,芝,1800,差し,197,7,29,0.0355,0.1472,0.15
函館,芝,1800,逃げ,26,6,11,0.2308,0.4231,0.413793
函館,芝,2000,,1,0,0,0.0,0.0,0.25
函館,芝,2000,まくり,6,1,4,0.1667,0.6667,0.555556
函館,芝,2000,先行,63,9,23,0.1429,0.3651,0.363636
函館,芝,2000,差し,118,6,20,0.0508,0.1695,0.173554
函館,芝,2000,逃げ,19,3,10,0.1579,0.5263,0.5
函館,芝,2600,,2,0,0,0.0,0.0,0.2
函館,芝,2600,まくり,2,0,1,0.0,0.5,0.4
函館,芝,2600,先行,46,11,20,0.2391,0.4348,0.428571
函館,芝,2600,差し,69,0,11,0.0,0.1594,0.166667
函館,芝,2600,逃げ,13,1,4,0.0769,0.3077,0.3125
小倉,ダ,1000,,4,0,0,0.0,0.0,0.142857
小倉,ダ,1000,先行,91,11,36,0.1209,0.3956,0.393617
小倉,ダ,1000,差し,212,2,17,0.0094,0.0802,0.083721
小倉,ダ,1000,逃げ,25,12,22,0.48,0.88,0.821429
小倉,ダ,1700,,13,0,0,0.0,0.0,0.0625
小倉,ダ,1700,まくり,19,4,14,0.2105,0.7368,0.681818
小倉,ダ,1700,先行,327,47,136,0.1437,0.4159,0.415152
小倉,ダ,1700,差し,949,22,89,0.0232,0.0938,0.094538
小倉,ダ,1700,逃げ,104,23,49,0.2212,0.4712,0.46729
小倉,ダ,2400,,1,0,0,0.0,0.0,0.25
小倉,ダ,2400,先行,12,3,7,0.25,0.5833,0.533333
小倉,ダ,2400,差し,21,0,2,0.0,0.0952,0.125
小倉,ダ,2400,逃げ,3,0,0,0.0,0.0,0.166667
小倉,芝,1200,,3,0,0,0.0,0.0,0.166667
小倉,芝,1200,まくり,1,0,1,0.0,1.0,0.5
小倉,芝,1200,先行,304,28,92,0.0921,0.3026,0.302932
小倉,芝,1200,差し,815,37,112,0.0454,0.1374,0.138142
小倉,芝,1200,逃げ,80,15,35,0.1875,0.4375,0.433735
小倉,芝,1800,,3,0,0,0.0,0.0,0.166667
小倉,芝,1800,まくり,9,1,3,0.1111,0.3333,0.333333
小倉,芝,1800,先行,166,23,67,0.1386,0.4036,0.402367
小倉,芝,1800,差し,387,11,46,0.0284,0.1189,0.120513
小倉,芝,1800,逃げ,48,12,25,0.25,0.5208,0.509804
小倉,芝,2000,,2,0,0,0.0,0.0,0.2
小倉,芝,2000,まくり,11,2,6,0.1818,0.5455,0.5
小倉,芝,2000,先行,151,24,57,0.1589,0.3775,0.376623
小倉,芝,2000,差し,300,11,51,0.0367,0.17,0.171617
小倉,芝,2000,逃げ,50,6,15,0.12,0.3,0.301887
小倉,芝,2600,,1,0,0,0.0,0.0,0.25
小倉,芝,2600,まくり,12,3,7,0.25,0.5833,0.533333
小倉,芝,2600,先行,62,9,27,0.1452,0.4355,0.430769
小倉,芝,2600,差し,139,6,19,0.0432,0.1367,0.140845
小倉,芝,2600,逃げ,21,2,7,0.0952,0.3333,0.333333
新潟,ダ,1200,,5,0,0,0.0,0.0,0.125
新潟,ダ,1200,先行,247,28,83,0.1134,0.336,0.336
新潟,ダ,1200,差し,641,27,88,0.0421,0.1373,0.138199
新潟,ダ,1200,逃げ,67,13,30,0.194,0.4478,0.442857
新潟,ダ,1800,,10,0,0,0.0,0.0,0.076923
新潟,ダ,1800,まくり,12,2,6,0.1667,0.5,0.466667
新潟,ダ,1800,先行,274,46,123,0.1679,0.4489,0.447653
新潟,ダ,1800,差し,728,18,83,0.0247,0.114,0.114911
新潟,ダ,1800,逃げ,94,15,31,0.1596,0.3298,0.329897
新潟,芝,1000,,3,0,0,0.0,0.0,0.166667
新潟,芝,1000,先行,118,7,33,0.0593,0.2797,0.280992
新潟,芝,1000,差し,439,20,52,0.0456,0.1185,0.11991
新潟,芝,1000,逃げ,48,9,23,0.1875,0.4792,0.470588
新潟,芝,1200,,1,0,0,0.0,0.0,0.25
